PassengerId,Survived,Pclass,Age,Cabin,Person,Family
134,1,2,29.0,,female,1
135,0,2,25.0,,male,0
136,0,2,23.0,,male,0
137,1,1,19.0,D47,female,1
138,0,1,37.0,C123,male,1
139,0,3,16.0,,male,0
140,0,1,24.0,B86,male,0
141,0,3,,,female,1
142,1,3,22.0,,female,0
143,1,3,24.0,,female,1
144,0,3,19.0,,male,0
145,0,2,18.0,,male,0
146,0,2,19.0,,male,1
147,1,3,27.0,,male,0
148,0,3,9.0,,child,1
149,0,2,36.5,F2,male,1
150,0,2,42.0,,male,0
151,0,2,51.0,,male,0
152,1,1,22.0,C2,female,1
153,0,3,55.5,,male,0
154,0,3,40.5,,male,1
155,0,3,,,male,0
156,0,1,51.0,,male,1
157,1,3,16.0,,female,0
158,0,3,30.0,,male,0
159,0,3,,,male,0
160,0,3,,,male,1
161,0,3,44.0,,male,1
162,1,2,40.0,,female,0
163,0,3,26.0,,male,0
164,0,3,17.0,,male,0
165,0,3,1.0,,child,1
166,1,3,9.0,,child,1
167,1,1,,E33,female,1
168,0,3,45.0,,female,1
169,0,1,,,male,0
170,0,3,28.0,,male,0
171,0,1,61.0,B19,male,0
172,0,3,4.0,,child,1
173,1,3,1.0,,child,1
174,0,3,21.0,,male,0
175,0,1,56.0,A7,male,0
176,0,3,18.0,,male,1
177,0,3,,,male,1
178,0,1,50.0,C49,female,0
179,0,2,30.0,,male,0
180,0,3,36.0,,male,0
181,0,3,,,female,1
182,0,2,,,male,0
183,0,3,9.0,,child,1
184,1,2,1.0,F4,child,1
185,1,3,4.0,,child,1
186,0,1,,A32,male,0
187,1,3,,,female,1
188,1,1,45.0,,male,0
189,0,3,40.0,,male,1
190,0,3,36.0,,male,0
191,1,2,32.0,,female,0
192,0,2,19.0,,male,0
193,1,3,19.0,,female,1
194,1,2,3.0,F2,child,1
195,1,1,44.0,B4,female,0
196,1,1,58.0,B80,female,0
197,0,3,,,male,0
198,0,3,42.0,,male,1
199,1,3,,,female,0
200,0,2,24.0,,female,0
201,0,3,28.0,,male,0
202,0,3,,,male,1
203,0,3,34.0,,male,0
204,0,3,45.5,,male,0
205,1,3,18.0,,male,0
206,0,3,2.0,G6,child,1
207,0,3,32.0,,male,1
208,1,3,26.0,,male,0
209,1,3,16.0,,female,0
210,1,1,40.0,A31,male,0
211,0,3,24.0,,male,0
212,1,2,35.0,,female,0
213,0,3,22.0,,male,0
214,0,2,30.0,,male,0
215,0,3,,,male,1
216,1,1,31.0,D36,female,1
217,1,3,27.0,,female,0
218,0,2,42.0,,male,1
219,1,1,32.0,D15,female,0
220,0,2,30.0,,male,0
221,1,3,16.0,,male,0
222,0,2,27.0,,male,0
223,0,3,51.0,,male,0
224,0,3,,,male,0
225,1,1,38.0,C93,male,1
226,0,3,22.0,,male,0
227,1,2,19.0,,male,0
228,0,3,20.5,,male,0
229,0,2,18.0,,male,0
230,0,3,,,female,1
231,1,1,35.0,C83,female,1
232,0,3,29.0,,male,0
233,0,2,59.0,,male,0
234,1,3,5.0,,child,1
235,0,2,24.0,,male,0
236,0,3,,,female,0
237,0,2,44.0,,male,1
238,1,2,8.0,,child,1
239,0,2,19.0,,male,0
240,0,2,33.0,,male,0
241,0,3,,,female,1
242,1,3,,,female,1
243,0,2,29.0,,male,0
244,0,3,22.0,,male,0
245,0,3,30.0,,male,0
246,0,1,44.0,C78,male,1
247,0,3,25.0,,female,0
248,1,2,24.0,,female,1
249,1,1,37.0,D35,male,1
250,0,2,54.0,,male,1
251,0,3,,,male,0
252,0,3,29.0,G6,female,1
253,0,1,62.0,C87,male,0
254,0,3,30.0,,male,1
255,0,3,41.0,,female,1
256,1,3,29.0,,female,1
257,1,1,,,female,0
258,1,1,30.0,B77,female,0
259,1,1,35.0,,female,0
260,1,2,50.0,,female,1
261,0,3,,,male,0
262,1,3,3.0,,child,1
263,0,1,52.0,E67,male,1
264,0,1,40.0,B94,male,0
265,0,3,,,female,0
266,0,2,36.0,,male,0
267,0,3,16.0,,male,1
268,1,3,25.0,,male,1
269,1,1,58.0,C125,female,1
270,1,1,35.0,C99,female,0
271,0,1,,,male,0
272,1,3,25.0,,male,0
273,1,2,41.0,,female,1
274,0,1,37.0,C118,male,1
275,1,3,,,female,0
276,1,1,63.0,D7,female,1
277,0,3,45.0,,female,0
278,0,2,,,male,0
279,0,3,7.0,,child,1
280,1,3,35.0,,female,1
281,0,3,65.0,,male,0
282,0,3,28.0,,male,0
283,0,3,16.0,,male,0
284,1,3,19.0,,male,0
285,0,1,,A19,male,0
286,0,3,33.0,,male,0
287,1,3,30.0,,male,0
288,0,3,22.0,,male,0
289,1,2,42.0,,male,0
290,1,3,22.0,,female,0
291,1,1,26.0,,female,0
292,1,1,19.0,B49,female,1
293,0,2,36.0,D,male,0
294,0,3,24.0,,female,0
295,0,3,24.0,,male,0
296,0,1,,,male,0
297,0,3,23.5,,male,0
298,0,1,2.0,C22 C26,child,1
299,1,1,,C106,male,0
300,1,1,50.0,B58 B60,female,1
301,1,3,,,female,0
302,1,3,,,male,1
303,0,3,19.0,,male,0
304,1,2,,E101,female,0
305,0,3,,,male,0
306,1,1,0.92,C22 C26,child,1
307,1,1,,,female,0
308,1,1,17.0,C65,female,1
309,0,2,30.0,,male,1
310,1,1,30.0,E36,female,0
311,1,1,24.0,C54,female,0
312,1,1,18.0,B57 B59 B63 B66,female,1
313,0,2,26.0,,female,1
314,0,3,28.0,,male,0
315,0,2,43.0,,male,1
316,1,3,26.0,,female,0
317,1,2,24.0,,female,1
318,0,2,54.0,,male,0
319,1,1,31.0,C7,female,1
320,1,1,40.0,E34,female,1
321,0,3,22.0,,male,0
322,0,3,27.0,,male,0
323,1,2,30.0,,female,0
324,1,2,22.0,,female,1
325,0,3,,,male,1
326,1,1,36.0,C32,female,0
327,0,3,61.0,,male,0
328,1,2,36.0,D,female,0
329,1,3,31.0,,female,1
330,1,1,16.0,B18,female,1
331,1,3,,,female,1
332,0,1,45.5,C124,male,0
333,0,1,38.0,C91,male,1
334,0,3,16.0,,male,1
335,1,1,,,female,1
336,0,3,,,male,0
337,0,1,29.0,C2,male,1
338,1,1,41.0,E40,female,0
339,1,3,45.0,,male,0
340,0,1,45.0,T,male,0
341,1,2,2.0,F2,child,1
342,1,1,24.0,C23 C25 C27,female,1
343,0,2,28.0,,male,0
344,0,2,25.0,,male,0
345,0,2,36.0,,male,0
346,1,2,24.0,F33,female,0
347,1,2,40.0,,female,0
348,1,3,,,female,1
349,1,3,3.0,,child,1
350,0,3,42.0,,male,0
351,0,3,23.0,,male,0
352,0,1,,C128,male,0
353,0,3,15.0,,child,1
354,0,3,25.0,,male,1
355,0,3,,,male,0
356,0,3,28.0,,male,0
357,1,1,22.0,E33,female,1
358,0,2,38.0,,female,0
359,1,3,,,female,0
360,1,3,,,female,0
361,0,3,40.0,,male,1
362,0,2,29.0,,male,1
363,0,3,45.0,,female,1
364,0,3,35.0,,male,0
365,0,3,,,male,1
366,0,3,30.0,,male,0
367,1,1,60.0,D37,female,1
368,1,3,,,female,0
369,1,3,,,female,0
370,1,1,24.0,B35,female,0
371,1,1,25.0,E50,male,1
372,0,3,18.0,,male,1
373,0,3,19.0,,male,0
374,0,1,22.0,,male,0
375,0,3,3.0,,child,1
376,1,1,,,female,1
377,1,3,22.0,,female,0
378,0,1,27.0,C82,male,1
379,0,3,20.0,,male,0
380,0,3,19.0,,male,0
381,1,1,42.0,,female,0
382,1,3,1.0,,child,1
383,0,3,32.0,,male,0
384,1,1,35.0,,female,1
385,0,3,,,male,0
386,0,2,18.0,,male,0
387,0,3,1.0,,child,1
388,1,2,36.0,,female,0
389,0,3,,,male,0
390,1,2,17.0,,female,0
391,1,1,36.0,B96 B98,male,1
392,1,3,21.0,,male,0
393,0,3,28.0,,male,1
394,1,1,23.0,D36,female,1
395,1,3,24.0,G6,female,1
396,0,3,22.0,,male,0
397,0,3,31.0,,female,0
398,0,2,46.0,,male,0
399,0,2,23.0,,male,0
400,1,2,28.0,,female,0
401,1,3,39.0,,male,0
402,0,3,26.0,,male,0
403,0,3,21.0,,female,1
404,0,3,28.0,,male,1
405,0,3,20.0,,female,0
406,0,2,34.0,,male,1
407,0,3,51.0,,male,0
408,1,2,3.0,,child,1
409,0,3,21.0,,male,0
410,0,3,,,female,1
411,0,3,,,male,0
412,0,3,,,male,0
413,1,1,33.0,C78,female,1
414,0,2,,,male,0
415,1,3,44.0,,male,0
416,0,3,,,female,0
417,1,2,34.0,,female,1
418,1,2,18.0,,female,1
419,0,2,30.0,,male,0
420,0,3,10.0,,child,1
421,0,3,,,male,0
422,0,3,21.0,,male,0
423,0,3,29.0,,male,0
424,0,3,28.0,,female,1
425,0,3,18.0,,male,1
426,0,3,,,male,0
427,1,2,28.0,,female,1
428,1,2,19.0,,female,0
429,0,3,,,male,0
430,1,3,32.0,E10,male,0
431,1,1,28.0,C52,male,0
432,1,3,,,female,1
433,1,2,42.0,,female,1
434,0,3,17.0,,male,0
435,0,1,50.0,E44,male,1
436,1,1,14.0,B96 B98,child,1
437,0,3,21.0,,female,1
438,1,2,24.0,,female,1
439,0,1,64.0,C23 C25 C27,male,1
440,0,2,31.0,,male,0
441,1,2,45.0,,female,1
442,0,3,20.0,,male,0
443,0,3,25.0,,male,1
444,1,2,28.0,,female,0
445,1,3,,,male,0
446,1,1,4.0,A34,child,1
447,1,2,13.0,,child,1
448,1,1,34.0,,male,0
449,1,3,5.0,,child,1
450,1,1,52.0,C104,male,0
451,0,2,36.0,,male,1
452,0,3,,,male,1
453,0,1,30.0,C111,male,0
454,1,1,49.0,C92,male,1
455,0,3,,,male,0
456,1,3,29.0,,male,0
457,0,1,65.0,E38,male,0
458,1,1,,D21,female,1
459,1,2,50.0,,female,0
460,0,3,,,male,0
461,1,1,48.0,E12,male,0
462,0,3,34.0,,male,0
463,0,1,47.0,E63,male,0
464,0,2,48.0,,male,0
465,0,3,,,male,0
466,0,3,38.0,,male,0
467,0,2,,,male,0
468,0,1,56.0,,male,0
469,0,3,,,male,0
470,1,3,0.75,,child,1
471,0,3,,,male,0
472,0,3,38.0,,male,0
473,1,2,33.0,,female,1
474,1,2,23.0,D,female,0
475,0,3,22.0,,female,0
476,0,1,,A14,male,0
477,0,2,34.0,,male,1
478,0,3,29.0,,male,1
479,0,3,22.0,,male,0
480,1,3,2.0,,child,1
481,0,3,9.0,,child,1
482,0,2,,,male,0
483,0,3,50.0,,male,0
484,1,3,63.0,,female,0
485,1,1,25.0,B49,male,1
486,0,3,,,female,1
487,1,1,35.0,C93,female,1
488,0,1,58.0,B37,male,0
489,0,3,30.0,,male,0
490,1,3,9.0,,child,1
491,0,3,,,male,1
492,0,3,21.0,,male,0
493,0,1,55.0,C30,male,0
494,0,1,71.0,,male,0
495,0,3,21.0,,male,0
496,0,3,,,male,0
497,1,1,54.0,D20,female,1
498,0,3,,,male,0
499,0,1,25.0,C22 C26,female,1
500,0,3,24.0,,male,0
501,0,3,17.0,,male,0
502,0,3,21.0,,female,0
503,0,3,,,female,0
504,0,3,37.0,,female,0
505,1,1,16.0,B79,female,0
506,0,1,18.0,C65,male,1
507,1,2,33.0,,female,1
508,1,1,,,male,0
509,0,3,28.0,,male,0
510,1,3,26.0,,male,0
511,1,3,29.0,,male,0
512,0,3,,,male,0
513,1,1,36.0,E25,male,0
514,1,1,54.0,,female,1
515,0,3,24.0,,male,0
516,0,1,47.0,D46,male,0
517,1,2,34.0,F33,female,0
518,0,3,,,male,0
519,1,2,36.0,,female,1
520,0,3,32.0,,male,0
521,1,1,30.0,B73,female,0
522,0,3,22.0,,male,0
523,0,3,,,male,0
524,1,1,44.0,B18,female,1
525,0,3,,,male,0
526,0,3,40.5,,male,0
527,1,2,50.0,,female,0
528,0,1,,C95,male,0
529,0,3,39.0,,male,0
530,0,2,23.0,,male,1
531,1,2,2.0,,child,1
532,0,3,,,male,0
533,0,3,17.0,,male,1
534,1,3,,,female,1
535,0,3,30.0,,female,0
536,1,2,7.0,,child,1
537,0,1,45.0,B38,male,0
538,1,1,30.0,,female,0
539,0,3,,,male,0
540,1,1,22.0,B39,female,1
541,1,1,36.0,B22,female,1
542,0,3,9.0,,child,1
543,0,3,11.0,,child,1
544,1,2,32.0,,male,1
545,0,1,50.0,C86,male,1
546,0,1,64.0,,male,0
547,1,2,19.0,,female,1
548,1,2,,,male,0
549,0,3,33.0,,male,1
550,1,2,8.0,,child,1
551,1,1,17.0,C70,male,1
552,0,2,27.0,,male,0
553,0,3,,,male,0
554,1,3,22.0,,male,0
555,1,3,22.0,,female,0
556,0,1,62.0,,male,0
557,1,1,48.0,A16,female,1
558,0,1,,,male,0
559,1,1,39.0,E67,female,1
560,1,3,36.0,,female,1
561,0,3,,,male,0
562,0,3,40.0,,male,0
563,0,2,28.0,,male,0
564,0,3,,,male,0
565,0,3,,,female,0
566,0,3,24.0,,male,1
567,0,3,19.0,,male,0
568,0,3,29.0,,female,1
569,0,3,,,male,0
570,1,3,32.0,,male,0
571,1,2,62.0,,male,0
572,1,1,53.0,C101,female,1
573,1,1,36.0,E25,male,0
574,1,3,,,female,0
575,0,3,16.0,,male,0
576,0,3,19.0,,male,0
577,1,2,34.0,,female,0
578,1,1,39.0,E44,female,1
579,0,3,,,female,1
580,1,3,32.0,,male,0
581,1,2,25.0,,female,1
582,1,1,39.0,C68,female,1
583,0,2,54.0,,male,0
584,0,1,36.0,A10,male,0
585,0,3,,,male,0
586,1,1,18.0,E68,female,1
587,0,2,47.0,,male,0
588,1,1,60.0,B41,male,1
589,0,3,22.0,,male,0
590,0,3,,,male,0
591,0,3,35.0,,male,0
592,1,1,52.0,D20,female,1
593,0,3,47.0,,male,0
594,0,3,,,female,1
595,0,2,37.0,,male,1
596,0,3,36.0,,male,1
597,1,2,,,female,0
598,0,3,49.0,,male,0
599,0,3,,,male,0
600,1,1,49.0,A20,male,1
601,1,2,24.0,,female,1
602,0,3,,,male,0
603,0,1,,,male,0
604,0,3,44.0,,male,0
605,1,1,35.0,,male,0
606,0,3,36.0,,male,1
607,0,3,30.0,,male,0
608,1,1,27.0,,male,0
609,1,2,22.0,,female,1
610,1,1,40.0,C125,female,0
611,0,3,39.0,,female,1
612,0,3,,,male,0
613,1,3,,,female,1
614,0,3,,,male,0
615,0,3,35.0,,male,0
616,1,2,24.0,,female,1
617,0,3,34.0,,male,1
618,0,3,26.0,,female,1
619,1,2,4.0,F4,child,1
620,0,2,26.0,,male,0
621,0,3,27.0,,male,1
622,1,1,42.0,D19,male,1
623,1,3,20.0,,male,1
624,0,3,21.0,,male,0
625,0,3,21.0,,male,0
626,0,1,61.0,D50,male,0
627,0,2,57.0,,male,0
628,1,1,21.0,D9,female,0
629,0,3,26.0,,male,0
630,0,3,,,male,0
631,1,1,80.0,A23,male,0
632,0,3,51.0,,male,0
633,1,1,32.0,B50,male,0
634,0,1,,,male,0
635,0,3,9.0,,child,1
636,1,2,28.0,,female,0
637,0,3,32.0,,male,0
638,0,2,31.0,,male,1
639,0,3,41.0,,female,1
640,0,3,,,male,1
641,0,3,20.0,,male,0
642,1,1,24.0,B35,female,0
643,0,3,2.0,,child,1
644,1,3,,,male,0
645,1,3,0.75,,child,1
646,1,1,48.0,D33,male,1
647,0,3,19.0,,male,0
648,1,1,56.0,A26,male,0
649,0,3,,,male,0
650,1,3,23.0,,female,0
651,0,3,,,male,0
652,1,2,18.0,,female,1
653,0,3,21.0,,male,0
654,1,3,,,female,0
655,0,3,18.0,,female,0
656,0,2,24.0,,male,1
657,0,3,,,male,0
658,0,3,32.0,,female,1
659,0,2,23.0,,male,0
660,0,1,58.0,D48,male,1
661,1,1,50.0,,male,1
662,0,3,40.0,,male,0
663,0,1,47.0,E58,male,0
664,0,3,36.0,,male,0
665,1,3,20.0,,male,1
666,0,2,32.0,,male,1
667,0,2,25.0,,male,0
668,0,3,,,male,0
669,0,3,43.0,,male,0
670,1,1,,C126,female,1
671,1,2,40.0,,female,1
672,0,1,31.0,B71,male,1
673,0,2,70.0,,male,0
674,1,2,31.0,,male,0
675,0,2,,,male,0
676,0,3,18.0,,male,0
677,0,3,24.5,,male,0
678,1,3,18.0,,female,0
679,0,3,43.0,,female,1
680,1,1,36.0,B51 B53 B55,male,1
681,0,3,,,female,0
682,1,1,27.0,D49,male,0
683,0,3,20.0,,male,0
684,0,3,14.0,,child,1
685,0,2,60.0,,male,1
686,0,2,25.0,,male,1
687,0,3,14.0,,child,1
688,0,3,19.0,,male,0
689,0,3,18.0,,male,0
690,1,1,15.0,B5,child,1
691,1,1,31.0,B20,male,1
692,1,3,4.0,,child,1
693,1,3,,,male,0
694,0,3,25.0,,male,0
695,0,1,60.0,,male,0
696,0,2,52.0,,male,0
697,0,3,44.0,,male,0
698,1,3,,,female,0
699,0,1,49.0,C68,male,1
700,0,3,42.0,F G63,male,0
701,1,1,18.0,C62 C64,female,1
702,1,1,35.0,E24,male,0
703,0,3,18.0,,female,1
704,0,3,25.0,,male,0
705,0,3,26.0,,male,1
706,0,2,39.0,,male,0
707,1,2,45.0,,female,0
708,1,1,42.0,E24,male,0
709,1,1,22.0,,female,0
710,1,3,,,male,1
711,1,1,24.0,C90,female,0
712,0,1,,C124,male,0
713,1,1,48.0,C126,male,1
714,0,3,29.0,,male,0
715,0,2,52.0,,male,0
716,0,3,19.0,F G73,male,0
717,1,1,38.0,C45,female,0
718,1,2,27.0,E101,female,0
719,0,3,,,male,0
720,0,3,33.0,,male,0
721,1,2,6.0,,child,1
722,0,3,17.0,,male,1
723,0,2,34.0,,male,0
724,0,2,50.0,,male,0
725,1,1,27.0,E8,male,1
726,0,3,20.0,,male,0
727,1,2,30.0,,female,1
728,1,3,,,female,0
729,0,2,25.0,,male,1
730,0,3,25.0,,female,1
731,1,1,29.0,B5,female,0
732,0,3,11.0,,child,0
733,0,2,,,male,0
734,0,2,23.0,,male,0
735,0,2,23.0,,male,0
736,0,3,28.5,,male,0
737,0,3,48.0,,female,1
738,1,1,35.0,B101,male,0
739,0,3,,,male,0
740,0,3,,,male,0
741,1,1,,D45,male,0
742,0,1,36.0,C46,male,1
743,1,1,21.0,B57 B59 B63 B66,female,1
744,0,3,24.0,,male,1
745,1,3,31.0,,male,0
746,0,1,70.0,B22,male,1
747,0,3,16.0,,male,1
748,1,2,30.0,,female,0
749,0,1,19.0,D30,male,1
750,0,3,31.0,,male,0
751,1,2,4.0,,child,1
752,1,3,6.0,E121,child,1
753,0,3,33.0,,male,0
754,0,3,23.0,,male,0
755,1,2,48.0,,female,1
756,1,2,0.67,,child,1
757,0,3,28.0,,male,0
758,0,2,18.0,,male,0
759,0,3,34.0,,male,0
760,1,1,33.0,B77,female,0
761,0,3,,,male,0
762,0,3,41.0,,male,0
763,1,3,20.0,,male,0
764,1,1,36.0,B96 B98,female,1
765,0,3,16.0,,male,0
766,1,1,51.0,D11,female,1
767,0,1,,,male,0
768,0,3,30.5,,female,0
769,0,3,,,male,1
770,0,3,32.0,,male,0
771,0,3,24.0,,male,0
772,0,3,48.0,,male,0
773,0,2,57.0,E77,female,0
774,0,3,,,male,0
775,1,2,54.0,,female,1
776,0,3,18.0,,male,0
777,0,3,,F38,male,0
778,1,3,5.0,,child,0
779,0,3,,,male,0
780,1,1,43.0,B3,female,1
781,1,3,13.0,,child,0
782,1,1,17.0,B20,female,1
783,0,1,29.0,D6,male,0
784,0,3,,,male,1
785,0,3,25.0,,male,0
786,0,3,25.0,,male,0
787,1,3,18.0,,female,0
788,0,3,8.0,,child,1
789,1,3,1.0,,child,1
790,0,1,46.0,B82 B84,male,0
791,0,3,,,male,0
792,0,2,16.0,,male,0
793,0,3,,,female,1
794,0,1,,,male,0
795,0,3,25.0,,male,0
796,0,2,39.0,,male,0
797,1,1,49.0,D17,female,0
798,1,3,31.0,,female,0
799,0,3,30.0,,male,0
800,0,3,30.0,,female,1
801,0,2,34.0,,male,0
802,1,2,31.0,,female,1
803,1,1,11.0,B96 B98,child,1
804,1,3,0.42,,child,1
805,1,3,27.0,,male,0
806,0,3,31.0,,male,0
807,0,1,39.0,A36,male,0
808,0,3,18.0,,female,0
809,0,2,39.0,,male,0
810,1,1,33.0,E8,female,1
811,0,3,26.0,,male,0
812,0,3,39.0,,male,0
813,0,2,35.0,,male,0
814,0,3,6.0,,child,1
815,0,3,30.5,,male,0
816,0,1,,B102,male,0
817,0,3,23.0,,female,0
818,0,2,31.0,,male,1
819,0,3,43.0,,male,0
820,0,3,10.0,,child,1
821,1,1,52.0,B69,female,1
822,1,3,27.0,,male,0
823,0,1,38.0,,male,0
824,1,3,27.0,E121,female,1
825,0,3,2.0,,child,1
826,0,3,,,male,0
827,0,3,,,male,0
828,1,2,1.0,,child,1
829,1,3,,,male,0
830,1,1,62.0,B28,female,0
831,1,3,15.0,,child,1
832,1,2,0.83,,child,1
833,0,3,,,male,0
834,0,3,23.0,,male,0
835,0,3,18.0,,male,0
836,1,1,39.0,E49,female,1
837,0,3,21.0,,male,0
838,0,3,,,male,0
839,1,3,32.0,,male,0
840,1,1,,C47,male,0
841,0,3,20.0,,male,0
842,0,2,16.0,,male,0
843,1,1,30.0,,female,0
844,0,3,34.5,,male,0
845,0,3,17.0,,male,0
846,0,3,42.0,,male,0
847,0,3,,,male,1
848,0,3,35.0,,male,0
849,0,2,28.0,,male,1
850,1,1,,C92,female,1
851,0,3,4.0,,child,1
852,0,3,74.0,,male,0
853,0,3,9.0,,child,1
854,1,1,16.0,D28,female,1
855,0,2,44.0,,female,1
856,1,3,18.0,,female,1
857,1,1,45.0,,female,1
858,1,1,51.0,E17,male,0
859,1,3,24.0,,female,1
860,0,3,,,male,0
861,0,3,41.0,,male,1
862,0,2,21.0,,male,1
863,1,1,48.0,D17,female,0
864,0,3,,,female,1
865,0,2,24.0,,male,0
866,1,2,42.0,,female,0
867,1,2,27.0,,female,1
868,0,1,31.0,A24,male,0
869,0,3,,,male,0
870,1,3,4.0,,child,1
871,0,3,26.0,,male,0
872,1,1,47.0,D35,female,1
873,0,1,33.0,B51 B53 B55,male,0
874,0,3,47.0,,male,0
875,1,2,28.0,,female,1
876,1,3,15.0,,child,0
877,0,3,20.0,,male,0
878,0,3,19.0,,male,0
879,0,3,,,male,0
880,1,1,56.0,C50,female,1
881,1,2,25.0,,female,1
882,0,3,33.0,,male,0
883,0,3,22.0,,female,0
884,0,2,28.0,,male,0
885,0,3,25.0,,male,0
886,0,3,39.0,,female,1
887,0,2,27.0,,male,0
888,1,1,19.0,B42,female,0
889,0,3,,,female,1
890,1,1,26.0,C148,male,0
891,0,3,32.0,,male,0
